ID,Name,Machine Number,Student/Staff,Password,Phone_number
10012C3T,Jean_Sutterfield,1,Student,4=(GKdzQ,202-555-0099
1001CSRA,Phil_Mees,2,Student,JGcub=5],202-555-0762
1001X902,Lashunda_Hanway,3,Student,-6Zw=Q}s,202-555-0604
1001K3A6,Renata_Dundon,4,Staff,c8=9$6fB,202-555-0929
1001JHXC,Hassan_Ditmore,5,Student,A9E{k5T[,202-555-0943
1001TNLT,Sherell_Furguson,6,Student,PMGq7+F{,202-555-0615
10014FUL,Sharita_Dorrell,7,Student,bVD?@^=3,202-555-0661
1001R84P,Thurman_Moore,8,Staff,.4b-=sFu,202-555-0232
1001QCQU,Carmelita_Goodson,9,Student,3T%.wJ-C,202-555-0498
10010SEL,Sharla_Navarrette,10,Student,e)2=?LMw,202-555-0587
1001LKN3,Dessie_Colpitts,11,Staff,c=3zX28m,202-555-0458
10018DY7,Arlyne_Damm,12,Student,/Jmp34Zj,202-555-0672
10017IKM,Fredia_Kennison,13,Staff,Zp6k%+MA,202-555-0184
1001GY83,Yuk_Becerra,14,Student,Dazu9!GZ,202-555-0427
1001SGHV,Diedre_Schildgen,15,Student,m%AchLs8,202-555-0887
1001FISQ,Lorri_Shadley,16,Student,wV8Z*{7Q,202-555-0722
1001EN55,Josie_Stimpson,17,Staff,Ga3?z+5E,202-555-0663
1001NT2M,Elnora_Schram,18,Student,.k9)WNe_,202-555-0272
1001ZL1E,Celestina_Pilon,19,Staff,$P7VGz[x,202-555-0822
1001WEMI,Jeffry_Bartkowski,20,Staff,FEeSX.29,202-555-0666
1001UJYN,Jeannette_Feucht,21,Staff,N9)d[{be,202-555-0586
1001VZW4,Sage_Whitty,22,Staff,!yC+z&p5,202-555-0178
1001GQVW,Abdul_Ginter,23,Staff,]?%j4L5>,202-555-0917
10013JG0,Tierra_Morrisette,24,Staff,)4_Jye.8,202-555-0606
10011OS6,Tamara_Coble,1,Student,8{[SQzb$,202-555-0110
1001B4QM,Darryl_Panganiban,2,Student,}5MU$T2v,202-555-0578
1001NMPF,Deadra_Saxton,3,Student,*s8tT97q,202-555-0961
1001KP0I,Naoma_Hilley,4,Student,_29b$TW&,202-555-0350
